Collection ID,Genus,Species,GenusSpecies,Latitude,Longitude,Elevation (m)
SC14 13 2 01,Naesiotus,n.sp. Yannickus,Naesiotus n.sp. Yannickus,-0.692653907,-90.4498041,152.4936523
SC14 13 2 02,Naesiotus,n.sp. Yannickus,Naesiotus n.sp. Yannickus,-0.692653907,-90.4498041,152.4936523
SC14 13 2 03,Naesiotus,n.sp. Yannickus,Naesiotus n.sp. Yannickus,-0.692653907,-90.4498041,152.4936523
SC14 13 2 04,Naesiotus,n.sp. Yannickus,Naesiotus n.sp. Yannickus,-0.692653907,-90.4498041,152.4936523
SC14 13 2 05,Naesiotus,n.sp. Yannickus,Naesiotus n.sp. Yannickus,-0.692653907,-90.4498041,152.4936523
SC14 13 2 06,Naesiotus,n.sp. Yannickus,Naesiotus n.sp. Yannickus,-0.692653907,-90.4498041,152.4936523
SC14 13 2 07,Naesiotus,n.sp. Yannickus,Naesiotus n.sp. Yannickus,-0.692653907,-90.4498041,152.4936523
SC14 13 2 08,Naesiotus,n.sp. Yannickus,Naesiotus n.sp. Yannickus,-0.692653907,-90.4498041,152.4936523
SC14 13 2 09,Naesiotus,n.sp. Yannickus,Naesiotus n.sp. Yannickus,-0.692653907,-90.4498041,152.4936523
SC14 13 2 10,Naesiotus,n.sp. Yannickus,Naesiotus n.sp. Yannickus,-0.692653907,-90.4498041,152.4936523
SC14 13 2 11,Naesiotus,n.sp. Yannickus,Naesiotus n.sp. Yannickus,-0.692653907,-90.4498041,152.4936523
SC14 13 2 12,Naesiotus,n.sp. Yannickus,Naesiotus n.sp. Yannickus,-0.692653907,-90.4498041,152.4936523
SC14 13 2 13,Naesiotus,n.sp. Yannickus,Naesiotus n.sp. Yannickus,-0.692653907,-90.4498041,152.4936523
SC14 13 2 14,Naesiotus,n.sp. Yannickus,Naesiotus n.sp. Yannickus,-0.692653907,-90.4498041,152.4936523
SC14 13 2 15,Naesiotus,n.sp. Yannickus,Naesiotus n.sp. Yannickus,-0.692653907,-90.4498041,152.4936523
SC14 13 2 16,Naesiotus,n.sp. Yannickus,Naesiotus n.sp. Yannickus,-0.692653907,-90.4498041,152.4936523
SC14 13 2 17,Naesiotus,n.sp. Yannickus,Naesiotus n.sp. Yannickus,-0.692653907,-90.4498041,152.4936523
SC14 13 2 18,Naesiotus,n.sp. Yannickus,Naesiotus n.sp. Yannickus,-0.692653907,-90.4498041,152.4936523
SC14 13 2 19,Naesiotus,n.sp. Yannickus,Naesiotus n.sp. Yannickus,-0.692653907,-90.4498041,152.4936523
SC14 13 2 20,Naesiotus,n.sp. Yannickus,Naesiotus n.sp. Yannickus,-0.692653907,-90.4498041,152.4936523
SC 14 13,Naesiotus,n.sp.SC-3,Naesiotus n.sp.SC-3,-0.692653907,-90.4498041,152.4936523
SC 14 13,Naesiotus,wolfi,Naesiotus wolfi,-0.692653907,-90.4498041,152.4936523
SC14 13 1 01,Naesiotus,wolfi,Naesiotus wolfi,-0.692653907,-90.4498041,152.4936523
SC14 13 1 02,Naesiotus,wolfi,Naesiotus wolfi,-0.692653907,-90.4498041,152.4936523
SC14 13 1 03,Naesiotus,wolfi,Naesiotus wolfi,-0.692653907,-90.4498041,152.4936523
SC14 13 1 04,Naesiotus,wolfi,Naesiotus wolfi,-0.692653907,-90.4498041,152.4936523
SC14 13 1 05,Naesiotus,wolfi,Naesiotus wolfi,-0.692653907,-90.4498041,152.4936523
SC14 13 1 06,Naesiotus,wolfi,Naesiotus wolfi,-0.692653907,-90.4498041,152.4936523
SC14 13 1 07,Naesiotus,wolfi,Naesiotus wolfi,-0.692653907,-90.4498041,152.4936523
SC14 13 1 08,Naesiotus,wolfi,Naesiotus wolfi,-0.692653907,-90.4498041,152.4936523
SC14 13 1 09,Naesiotus,wolfi,Naesiotus wolfi,-0.692653907,-90.4498041,152.4936523
SC14 13 1 10,Naesiotus,wolfi,Naesiotus wolfi,-0.692653907,-90.4498041,152.4936523
SC14 13 1 11,Naesiotus,wolfi,Naesiotus wolfi,-0.692653907,-90.4498041,152.4936523
SC14 13 1 12,Naesiotus,wolfi,Naesiotus wolfi,-0.692653907,-90.4498041,152.4936523
SC14 13 1 13,Naesiotus,wolfi,Naesiotus wolfi,-0.692653907,-90.4498041,152.4936523
SC14 13 1 14,Naesiotus,wolfi,Naesiotus wolfi,-0.692653907,-90.4498041,152.4936523
SC14 13 1 15,Naesiotus,wolfi,Naesiotus wolfi,-0.692653907,-90.4498041,152.4936523
SC14 13 1 16,Naesiotus,wolfi,Naesiotus wolfi,-0.692653907,-90.4498041,152.4936523
SC14 13 1 17,Naesiotus,wolfi,Naesiotus wolfi,-0.692653907,-90.4498041,152.4936523
SC14 13 1 18,Naesiotus,wolfi,Naesiotus wolfi,-0.692653907,-90.4498041,152.4936523
SC14 13 1 19,Naesiotus,wolfi,Naesiotus wolfi,-0.692653907,-90.4498041,152.4936523
SC14 13 1 20,Naesiotus,wolfi,Naesiotus wolfi,-0.692653907,-90.4498041,152.4936523
SC15-05,Naesiotus,ochsneri,Naesiotus ochsneri,-0.6243667,-90.4496667,343
SC 14 12,Naesiotus,eos,Naesiotus eos,-0.69215904,-90.44935266,151.2919922
SC 14 12,Naesiotus,wolfi,Naesiotus wolfi,-0.69215904,-90.44935266,151.2919922
SC 14 11,Naesiotus,n.sp.SC-3,Naesiotus n.sp.SC-3,-0.69228502,-90.44847021,149.8500977
SC 14 11,Naesiotus,wolfi,Naesiotus wolfi,-0.69228502,-90.44847021,149.8500977
SC 14 10,Naesiotus,eos,Naesiotus eos,-0.691813957,-90.44613065,150.3306885
SC 14 10,Naesiotus,wolfi,Naesiotus wolfi,-0.691813957,-90.44613065,150.3306885
SC14 10 1 01,Naesiotus,wolfi,Naesiotus wolfi,-0.691813957,-90.44613065,150.3306885
SC14 10 1 02,Naesiotus,wolfi,Naesiotus wolfi,-0.691813957,-90.44613065,150.3306885
SC14 10 1 03,Naesiotus,wolfi,Naesiotus wolfi,-0.691813957,-90.44613065,150.3306885
SC14 10 1 04,Naesiotus,wolfi,Naesiotus wolfi,-0.691813957,-90.44613065,150.3306885
SC14 10 1 05,Naesiotus,wolfi,Naesiotus wolfi,-0.691813957,-90.44613065,150.3306885
SC14 10 1 06,Naesiotus,wolfi,Naesiotus wolfi,-0.691813957,-90.44613065,150.3306885
SC14 10 1 07,Naesiotus,wolfi,Naesiotus wolfi,-0.691813957,-90.44613065,150.3306885
SC14 10 1 08,Naesiotus,wolfi,Naesiotus wolfi,-0.691813957,-90.44613065,150.3306885
SC14 10 1 09,Naesiotus,wolfi,Naesiotus wolfi,-0.691813957,-90.44613065,150.3306885
SC14 10 1 10,Naesiotus,wolfi,Naesiotus wolfi,-0.691813957,-90.44613065,150.3306885
SC14 10 1 11,Naesiotus,wolfi,Naesiotus wolfi,-0.691813957,-90.44613065,150.3306885
SC14 10 1 12,Naesiotus,wolfi,Naesiotus wolfi,-0.691813957,-90.44613065,150.3306885
SC14 10 1 13,Naesiotus,wolfi,Naesiotus wolfi,-0.691813957,-90.44613065,150.3306885
SC14 10 1 14,Naesiotus,wolfi,Naesiotus wolfi,-0.691813957,-90.44613065,150.3306885
SC14 10 1 15,Naesiotus,wolfi,Naesiotus wolfi,-0.691813957,-90.44613065,150.3306885
SC14 10 1 16,Naesiotus,wolfi,Naesiotus wolfi,-0.691813957,-90.44613065,150.3306885
SC14 10 1 17,Naesiotus,wolfi,Naesiotus wolfi,-0.691813957,-90.44613065,150.3306885
SC14 10 1 18,Naesiotus,wolfi,Naesiotus wolfi,-0.691813957,-90.44613065,150.3306885
SC14 10 1 19,Naesiotus,wolfi,Naesiotus wolfi,-0.691813957,-90.44613065,150.3306885
SC14 10 1 20,Naesiotus,wolfi,Naesiotus wolfi,-0.691813957,-90.44613065,150.3306885
SC15-c-01-2-1,Naesiotus,akamatus,Naesiotus akamatus,-0.690075466,-90.44578481,144.0822754
SC15-c-01-2-2,Naesiotus,akamatus,Naesiotus akamatus,-0.690075466,-90.44578481,144.0822754
SC15-c-01-2-3,Naesiotus,akamatus,Naesiotus akamatus,-0.690075466,-90.44578481,144.0822754
SC15-c-01-2-4,Naesiotus,akamatus,Naesiotus akamatus,-0.690075466,-90.44578481,144.0822754
SC15-c-01-2-5,Naesiotus,akamatus,Naesiotus akamatus,-0.690075466,-90.44578481,144.0822754
SC15-c-01-2-6,Naesiotus,akamatus,Naesiotus akamatus,-0.690075466,-90.44578481,144.0822754
SC15-c-01-2-7,Naesiotus,akamatus,Naesiotus akamatus,-0.690075466,-90.44578481,144.0822754
SC15-c-01-2-8,Naesiotus,akamatus,Naesiotus akamatus,-0.690075466,-90.44578481,144.0822754
SC15-c-01-2-9,Naesiotus,akamatus,Naesiotus akamatus,-0.690075466,-90.44578481,144.0822754
