Species,Latitude,Longitude
Naesiotus reibischii,-0.5726167,-90.33812
Naesiotus reibischii,-0.5726167,-90.33812
Naesiotus reibischii,-0.5726167,-90.33812
Naesiotus reibischii,-0.5726167,-90.33812
Naesiotus reibischii,-0.5726167,-90.33812
Naesiotus reibischii,-0.5726167,-90.33812
Naesiotus reibischii,-0.5726167,-90.33812
Naesiotus reibischii,-0.5726167,-90.33812
Naesiotus reibischii,-0.5726167,-90.33812
Naesiotus reibischii,-0.5726167,-90.33812
Naesiotus reibischii,-0.5726167,-90.33812
Naesiotus reibischii,-0.572611,-90.338114
Naesiotus reibischii,-0.572611,-90.338114
Naesiotus hirsutus,-0.572611,-90.338114
Naesiotus reibischii,-0.572611,-90.338114
Naesiotus cavagnaroi,-0.572611,-90.338114
Naesiotus lycodus,-0.572611,-90.338114
Naesiotus saeronius,-0.572611,-90.338114
Naesiotus reibischii,-0.567734,-90.33801
Naesiotus n.sp. Yannickus,-0.567734,-90.33801
Naesiotus reibischii,-0.567734,-90.33801
Naesiotus hirsutus,-0.731949946,-90.32863523
Naesiotus wolfi,-0.731949946,-90.32863523
Naesiotus wolfi,-0.731949946,-90.32863523
Naesiotus wolfi,-0.731949946,-90.32863523
Naesiotus wolfi,-0.731949946,-90.32863523
Naesiotus wolfi,-0.731949946,-90.32863523
Naesiotus wolfi,-0.731949946,-90.32863523
Naesiotus wolfi,-0.731949946,-90.32863523
Naesiotus wolfi,-0.731949946,-90.32863523
Naesiotus wolfi,-0.731949946,-90.32863523
Naesiotus wolfi,-0.731949946,-90.32863523
Naesiotus wolfi,-0.731949946,-90.32863523
Naesiotus wolfi,-0.731949946,-90.32863523
Naesiotus wolfi,-0.731949946,-90.32863523
Naesiotus wolfi,-0.731949946,-90.32863523
Naesiotus wolfi,-0.731949946,-90.32863523
Naesiotus wolfi,-0.731949946,-90.32863523
Naesiotus ochsneri,-0.73195,-90.32863
Naesiotus ochsneri,-0.73195,-90.32863
Naesiotus ochsneri,-0.73195,-90.32863
Naesiotus wolfi,-0.73195,-90.32863
Naesiotus cf. ochsneri,-0.73195,-90.32863
Naesiotus n.sp.SC-1,-0.68472222,-90.32861111
Naesiotus kublerensis,-0.68472222,-90.32861111
Naesiotus wolfi,-0.68472222,-90.32861111
Naesiotus wolfi,-0.731985737,-90.32854898
Naesiotus n.sp.SC-1,-0.7279333,-90.32798
Naesiotus wolfi,-0.7279333,-90.32798
