Species,Latitude,Longitude
S12,-0.653096437,-90.25454197
S12,-0.653096437,-90.25454197
S12,-0.653096437,-90.25454197
S12,-0.653096437,-90.25454197
S12,-0.653096437,-90.25454197
S12,-0.653096437,-90.25454197
S12,-0.653096437,-90.25454197
S03,-0.657951236,-90.25266401
S07,-0.657951236,-90.25266401
S04,-0.65834,-90.251601
S17,-0.67027778,-90.25111111
S09,-0.6473,-90.25055
S02,-0.6473,-90.25055
S09,-0.6456167,-90.2496667
S12,-0.6456167,-90.2496667
S11,-0.6452333,-90.24925
S07,-0.6704,-90.24893
S02,-0.6704,-90.24893
S03,-0.6704,-90.24893
S03,-0.6716667,-90.2487
S03,-0.6716667,-90.2487
S03,-0.6716667,-90.2487
S03,-0.6716667,-90.2487
S03,-0.6716667,-90.2487
S03,-0.6716667,-90.2487
S03,-0.6716667,-90.2487
S03,-0.6716667,-90.2487
S03,-0.6716667,-90.2487
S03,-0.6716667,-90.2487
S03,-0.6716667,-90.2487
S03,-0.6716667,-90.2487
S03,-0.6716667,-90.2487
S03,-0.6716667,-90.2487
S03,-0.6716667,-90.2487
S03,-0.6716667,-90.2487
S03,-0.6716667,-90.2487
S03,-0.6716667,-90.2487
S03,-0.6716667,-90.2487
S03,-0.6716667,-90.2487
S03,-0.671882629,-90.24839904
S02,-0.6567,-90.2463333
S03,-0.6567,-90.2463333
S09,-0.6567,-90.2463333
S11,-0.656609042,-90.24629384
S09,-0.656609042,-90.24629384
S02,-0.656609042,-90.24629384
S12,-0.658667218,-90.2460615
S12,-0.658667218,-90.2460615
S12,-0.658667218,-90.2460615
S12,-0.658667218,-90.2460615
S12,-0.658667218,-90.2460615
S12,-0.658667218,-90.2460615
S12,-0.658667218,-90.2460615
S12,-0.658667218,-90.2460615
S12,-0.658667218,-90.2460615
S12,-0.658667218,-90.2460615
S12,-0.658667218,-90.2460615
S12,-0.658667218,-90.2460615
S12,-0.658667218,-90.2460615
S12,-0.658667218,-90.2460615
S12,-0.658667218,-90.2460615
S12,-0.658667218,-90.2460615
S12,-0.658667218,-90.2460615
S12,-0.658667218,-90.2460615
S12,-0.658667218,-90.2460615
S12,-0.658667218,-90.2460615
S12,-0.658667218,-90.2460615
S02,-0.655875122,-90.24583602
S09,-0.655875122,-90.24583602
S02,-0.653987937,-90.24545196
S02,-0.654948838,-90.24535901
S09,-0.654998291,-90.2453456
S09,-0.653441269,-90.24526798
S03,-0.655233823,-90.24514904
S14,-0.651557771,-90.24494377
S14,-0.651557771,-90.24494377
S14,-0.651557771,-90.24494377
S14,-0.651557771,-90.24494377
S14,-0.651557771,-90.24494377
S14,-0.651557771,-90.24494377
S14,-0.651557771,-90.24494377
S09,-0.651557771,-90.24494377
S09,-0.651557771,-90.24494377
S09,-0.651557771,-90.24494377
S09,-0.651557771,-90.24494377
S09,-0.651557771,-90.24494377
S09,-0.651557771,-90.24494377
S09,-0.651557771,-90.24494377
S09,-0.651557771,-90.24494377
S09,-0.651557771,-90.24494377
S03,-0.651557771,-90.24494377
S03,-0.651557771,-90.24494377
S03,-0.651557771,-90.24494377
S03,-0.651557771,-90.24494377
S03,-0.651557771,-90.24494377
S02,-0.651557771,-90.24494377
S02,-0.651557771,-90.24494377
S02,-0.651557771,-90.24494377
S09,-0.655813012,-90.244724
