Species,Latitude,Longitude,Locality
Naesiotus hirsutus,-0.67225,-90.24033,SC 01 06
Naesiotus reibischii,-0.67225,-90.24033,SC 01 06
Naesiotus wolfi 4,-0.67225,-90.24033,SC 01 06
Naesiotus wolfi 4,-0.672054626,-90.24262802,SC 03 62
Naesiotus n.sp.SC-2,-0.671882629,-90.24839904,SC-T12
Naesiotus n.sp.SC-2,-0.6716667,-90.2487,SC02 T12 1
Naesiotus reibischii,-0.6716667,-90.2487,SC02 T12 2
Naesiotus wolfi 4,-0.671038404,-90.24150903,SC 03 61
Naesiotus hirsutus,-0.6704,-90.24893,SC 2000-2
Naesiotus ochsneri,-0.6704,-90.24893,SC 2000-2
Naesiotus reibischii,-0.6704,-90.24893,SC 2000-2
Naesiotus n.sp.SC-1,-0.67027778,-90.25111111,SC 01 08
Naesiotus alethorhytidus,-0.669,-90.43233,SC 00 03
Naesiotus ochsneri,-0.669,-90.43233,SC 00 03 tunnel
Naesiotus alethorhytidus,-0.668749,-90.431516,SC 01 El Chato alethorhytidus
Naesiotus ochsneri,-0.668749,-90.431516,SC 01 El Chato
Naesiotus cavagnaroi,-0.668698,-90.431738,SC 00 04 02
Naesiotus alethorhytidus,-0.6681167,-90.26825,SC 14 cueva bella vista 2
Naesiotus lycodus,-0.6681167,-90.26825,SC 14 cueva bella vista 2
Naesiotus ochsneri,-0.6681167,-90.26825,SC 14 cueva bella vista 2
Naesiotus akamatus,-0.668009939,-90.24137903,SC 03 59
Naesiotus hirsutus,-0.668009939,-90.24137903,SC 03 59
Naesiotus alethorhytidus,-0.6669667,-90.2702,SC 14 cueva bella vista 1
Naesiotus ochsneri,-0.6669667,-90.2702,SC 14 cueva 1 bella vista
Naesiotus saeronius,-0.6669667,-90.2702,SC 14 cueva 1 bella vista
Naesiotus wolfi 4,-0.66643456,-90.24095901,SC03 S12 583
Naesiotus wolfi 4,-0.66489229,-90.24110503,SC 03 57
Naesiotus cf. ochsneri,-0.6639,-90.26247,SC 14 cueva cascajo
Naesiotus lycodus,-0.6639,-90.26247,SC 14 cueva cascajo
Naesiotus n.sp. Yannickus,-0.6639,-90.26247,SC 14 cueva cascajo
Naesiotus wolfi,-0.6639,-90.26247,SC 14 cueva cascajo
Naesiotus akamatus,-0.663424116,-90.24132103,SC 03 56
Naesiotus akamatus,-0.661710603,-90.24137702,SC 03 54
Naesiotus cf. ochsneri,-0.661263093,-90.25707155,SC1T22
Naesiotus n.sp.SC-2,-0.661263093,-90.25707155,SC1T22
